"","V1"
"1",3.74721053767338
"2",2.35330777531594
"3",4.34624972494677
"4",2.44897126828326
"5",4.47743803428154
"6",-0.869037057536065
"7",5.01195688560523
"8",3.2411756304665
"9",11.5978310928068
"10",-0.797143586761105
"11",1.16981191984839
"12",2.32589422681923
"13",5.62237386846039
"14",1.67764568647039
"15",4.8978999067103
"16",2.71935888434053
"17",2.50168250016209
"18",5.6629010635842
"19",-2.53144823245665
"20",3.38008214530367
"21",0.42696490972851
"22",3.97956484502989
"23",-0.304808277336026
"24",5.33810855477441
"25",0.291305623863326
"26",3.28470206961506
